road_key,hour,month,is_night,is_rush_hour,is_weekend,at_intersection_binary,school_zone_binary,work_zone_binary,weather_encoded,light_encoded,surface_encoded,historical_crash_rate,ADT,congestion_risk
KEMPSVILLE RD,7,10,0,1,0,1.0,1,0,2.0,1.0,1.0,18,15000.0,0
1800 KEMPSVILLE RD,7,10,0,1,0,1.0,1,0,0.0,2.0,0.0,3,39000.0,2
FIRST COLONIAL RD,20,9,1,0,0,1.0,0,1,0.0,2.0,0.0,35,36000.0,1
3832 NORTH LANDING RD,16,10,0,1,0,0.0,0,0,0.0,0.0,0.0,1,39000.0,2
FIRST COLONIAL RD,15,10,0,0,0,1.0,0,0,0.0,0.0,0.0,35,36000.0,1
600 BLOCK PHOENIX DRIVE,18,10,0,1,0,1.0,0,0,0.0,0.0,0.0,2,20000.0,1
200 DILLON DRIVE,18,10,0,1,0,1.0,1,0,0.0,2.0,0.0,1,5000.0,0
3200 HOLLAND ROAD,16,10,0,1,1,1.0,0,0,0.0,0.0,0.0,3,36000.0,1
6600 PROVIDENCE RD,14,10,0,0,0,1.0,0,0,0.0,0.0,0.0,2,17000.0,1
2000 LYNNHAVEN PW,20,10,1,0,0,1.0,0,0,0.0,2.0,0.0,14,46000.0,2
4000 BONNEY ROAD,18,9,0,1,0,1.0,0,0,0.0,0.0,0.0,1,12000.0,0
936 INDEPENDENCE BLVD,18,9,0,1,0,0.0,0,0,0.0,0.0,0.0,1,73000.0,2
300 BIRDNECK RD N,7,10,0,1,0,1.0,0,0,0.0,0.0,0.0,3,3900.0,0
1500 GREAT NECK RD N,14,10,0,0,0,1.0,1,0,0.0,0.0,0.0,5,39000.0,2
1600 GENERAL BOOTH BL,8,10,0,1,0,1.0,0,0,0.0,0.0,0.0,6,46000.0,2
ROSEMONT RD S,8,9,0,1,0,1.0,0,0,0.0,0.0,0.0,17,30000.0,1
2400 ELSON GREEN AV,14,10,0,0,0,0.0,0,0,0.0,0.0,0.0,1,2600.0,0
LYNNHAVEN PW,12,10,0,0,0,1.0,0,0,0.0,0.0,0.0,32,46000.0,2
400 INDEPENDENCE BL S,8,10,0,1,0,0.0,0,0,0.0,0.0,0.0,9,73000.0,2
300 INDEPENDENCE S BLVD,15,10,0,0,0,0.0,0,0,0.0,0.0,0.0,1,73000.0,2
900 CENTERVILLE TPKE,16,10,0,1,0,1.0,0,0,0.0,0.0,0.0,1,19000.0,1
4900 PRINCESS ANNE RD,5,10,1,0,0,1.0,0,0,0.0,2.0,0.0,17,20000.0,1
1900 SALEM RD,15,10,0,0,0,1.0,0,0,0.0,0.0,0.0,3,15000.0,0
PRINCESS ANNE ROAD,21,10,1,0,0,1.0,0,0,0.0,2.0,0.0,6,20000.0,1
2500 LONDON BRIDGE RD,14,10,0,0,1,1.0,0,0,0.0,0.0,0.0,7,33000.0,1
4600 VIRGINIA BEACH BL,11,10,0,0,1,1.0,0,0,2.0,0.0,1.0,6,30000.0,1
FIRST COLONIAL ROAD,15,10,0,0,0,1.0,0,0,0.0,0.0,0.0,3,36000.0,1
LYNNHAVEN PARKWAY,20,10,1,0,0,1.0,0,0,0.0,2.0,0.0,4,46000.0,2
900 KEMPSVILLE RD,16,10,0,1,0,1.0,0,0,0.0,0.0,0.0,9,39000.0,2
6500 INDIAN RIVER RD,16,10,0,1,0,0.0,0,0,0.0,0.0,0.0,4,71000.0,2
5300 INDIAN RIVER RD,17,10,0,1,0,1.0,0,0,2.0,2.0,1.0,13,71000.0,2
5600 INDIAN RIVER RD,15,10,0,0,1,0.0,0,0,0.0,0.0,0.0,12,71000.0,2
2557 ARCHDALE RD,11,10,0,0,0,0.0,0,0,0.0,0.0,0.0,1,39000.0,2
COLUMBUS ST,21,10,1,0,1,1.0,0,0,0.0,2.0,0.0,5,15000.0,0
900 NORTHWOOD DR,17,10,0,1,0,1.0,0,0,0.0,0.0,0.0,1,9400.0,0
5500 WESLEYAN DR,21,10,1,0,0,0.0,0,0,0.0,2.0,0.0,6,20000.0,1
2000 LYNNHAVEN PW,17,10,0,1,0,0.0,0,0,0.0,0.0,0.0,14,46000.0,2
5200 LYNNHAVEN PARKWAY,15,10,0,0,0,1.0,0,0,0.0,0.0,0.0,1,46000.0,2
2200 LYNNHAVEN PW,20,10,1,0,0,1.0,0,0,0.0,2.0,0.0,2,46000.0,2
800 DIAMOND SPRINGS RD,1,10,1,0,1,1.0,0,0,0.0,2.0,0.0,7,22000.0,1
900 WINDSORS OAK BLVD,18,10,0,1,0,0.0,0,0,0.0,2.0,0.0,1,30000.0,1
1900BLK UPTON DR,18,10,0,1,1,1.0,0,0,0.0,2.0,0.0,1,9400.0,0
5900 NORTHAMPTON BL,16,10,0,1,0,0.0,0,0,0.0,0.0,0.0,1,30000.0,1
200 DILLON DR,11,10,0,0,1,1.0,0,0,0.0,0.0,0.0,1,5000.0,0
OCEANA BL,8,10,0,1,0,0.0,0,0,0.0,0.0,0.0,3,30000.0,1
3417 INDIAN RIVER RD,8,10,0,1,0,0.0,0,0,0.0,0.0,0.0,1,71000.0,2
2300 PRINCESS ANNE RD,7,10,0,1,0,1.0,0,0,0.0,1.0,0.0,3,20000.0,1
4400 SOUTH BOULEVARD,18,9,0,1,0,1.0,0,0,0.0,1.0,0.0,1,4000.0,0
2000 GREAT NECK,7,10,0,1,0,1.0,0,0,0.0,1.0,0.0,1,7200.0,0
2100 BLK NIMMO PKWY,12,10,0,0,0,0.0,0,0,0.0,0.0,0.0,1,43000.0,2
3600 SHORE DR,9,11,0,1,0,0.0,0,0,0.0,0.0,0.0,2,5000.0,0
1417 INDEPENDENCE BL,7,11,0,1,0,0.0,0,0,0.0,0.0,0.0,1,73000.0,2
4400 FIRST COURT RD,17,11,0,1,0,1.0,0,0,0.0,0.0,0.0,3,8400.0,0
100 PLAZA  TRL,15,10,0,0,0,0.0,0,0,2.0,0.0,1.0,1,11000.0,0
1800 INDEPENDENCE  BL,19,10,0,0,1,1.0,0,0,0.0,2.0,0.0,1,73000.0,2
100 INDEPENDENCE BLVD,17,10,0,1,0,1.0,1,0,0.0,1.0,0.0,2,73000.0,2
FERRELL PARWAY,15,11,0,0,0,1.0,0,0,0.0,0.0,0.0,1,43000.0,2
STONESHORE RD,16,10,0,1,1,1.0,0,0,0.0,0.0,0.0,2,3000.0,0
