OBJECTID,EVENT_SOURCE_ID,DATA_DATE,ROUTE_COMMON_NAME,ROUTE_NAME,HTRIS_ID,ROUTE_ALIAS,START_LABEL,END_LABEL,ADT,ADT_QUALITY,PERCENT_4_TIRE,PERCENT_BUS,PERCENT_TRUCK_2_AXLE,PERCENT_TRUCK_3_AXLE,PERCENT_TRUCK_1_TRAIL,PERCENT_TRUCK_2_TRAIL,CLASS_QUALITY_CODE,K_FACTOR,K_FACTOR_QUALITY_CODE,DIRECTION_FACTOR,AAWDT,AAWDT_QUALITY_CODE,LOC_COMP_DIRECTIONALITY_NAME,ROUTE_FROM_MEASURE,FROM_JURISDICTION,ROUTE_TO_MEASURE,TO_JURISDICTION,PEAK_SINGLE_UNIT_TRUCK,PEAK_COMBINATION_TRUCK,EVENT_LOCATION_ID,EVENT_COMPONENT_ID,MAXIMUMSCALEDENOMINATOR,ROUTE_COMMON_NAME_ADT,FROM_DISTRICT,TO_DISTRICT,RTE_TYPE_CD,RTE_ID,Shape__Length
141,780163,2019/05/01 00:00:00+00,SC-1753E (York County),R-VA099SC01753EB,9901753,          ,99-1755 WEST,99-1754 Cranwood Court,690,R,,,,,,,X,,X,,,X,Bidirectional,0.07,York County,0.13,York County,,,1,1,24000,SC-1753E (York County) - ADT 690,Hampton Roads,Hampton Roads,SC,1598346,123.7835628
142,707005,2022/10/14 00:00:00+00,SC-668N (Botetourt County),R-VA011SC00668NB,1100668,          ,11-655 Old Fincastle Rd,"11-635, W Wind Rd",390,R,,,,,,,X,,X,,,X,Bidirectional,0,Botetourt County,1.55,Botetourt County,,,1,1,24000,SC-668N (Botetourt County) - ADT 390,Salem,Salem,SC,2162884,3069.387726
144,771111,2020/07/22 00:00:00+00,SC-1603E (Shenandoah County),R-VA085SC01603EB,8501603,          ,0.10 ME Dead End,85-1601 Courtland Way,120,R,,,,,,,X,,X,,,X,Bidirectional,0.1,Shenandoah County,0.45,Shenandoah County,,,1,1,24000,SC-1603E (Shenandoah County) - ADT 120,Staunton,Staunton,SC,1900532,582.5842889
145,734793,2023/03/10 00:00:00+00,SC-7178E (Fairfax County),R-VA029SC07178EB,2907178,          ,Cul-de-Sac,29-7160 Jasper Ct,260,T,,,,,,,X,,X,,,X,Bidirectional,0,Fairfax County,0.05,Fairfax County,,,1,1,24000,SC-7178E (Fairfax County) - ADT 260,Northern Virginia,Northern Virginia,SC,1774094,84.55444891
146,786252,2003/04/14 00:00:00+00,SC-10152E (Fairfax County),R-VA029SC10152EB,2910152,          ,29-10151 Folkers Ld,Dead End,70,R,,,,,,,X,,X,,,X,Bidirectional,0,Fairfax County,0.08,Fairfax County,,,1,1,24000,SC-10152E (Fairfax County) - ADT 70,Northern Virginia,Northern Virginia,SC,2094855,153.3153449
147,719913,2014/08/27 00:00:00+00,SC-622N (Culpeper County),R-VA023SC00622NB,2300622,          ,US 211 Lee Highway,23-613 Waterloo Rd,360,R,,,,,,,X,,X,,,X,Bidirectional,0,Culpeper County,1.3,Culpeper County,,,1,1,24000,SC-622N (Culpeper County) - ADT 360,Culpeper,Culpeper,SC,1394823,2770.348558
148,727864,2003/06/24 00:00:00+00,SC-3308E (Fairfax County),R-VA029SC03308EB,2903308,          ,Dead End,29-3301 Cullum St,60,R,,,,,,,X,,X,,,X,Bidirectional,0,Fairfax County,0.07,Fairfax County,,,1,1,24000,SC-3308E (Fairfax County) - ADT 60,Northern Virginia,Northern Virginia,SC,1427028,124.0601738
149,707446,2022/10/24 00:00:00+00,SC-1311N (Botetourt County),R-VA011SC01311NB,1101311,          ,11-1307 Boyd St,Dead End; Gap,20,T,,,,,,,X,,X,,,X,Bidirectional,0.02,Botetourt County,0.05,Botetourt County,,,1,1,24000,SC-1311N (Botetourt County) - ADT 20,Salem,Salem,SC,1846512,44.20341294
150,403775,2024/01/01 00:00:00+00,SC-666E (Montgomery County),R-VA060SC00666EB,6000666,          ,60-724 Gate Rd,WCL Christiansburg,1400,G,98.00945,0.67476,0.7085,0.40486,0.20243,0,C,0.1269,F,0.561,1500,G,Bidirectional,1.84,Montgomery County,4.96,Montgomery County,0.12436,0,1,1,24000,SC-666E (Montgomery County) - ADT 1400,Salem,Salem,SC,2220999,6178.583805
152,720013,2023/08/01 00:00:00+00,SC-661N (Culpeper County),R-VA023SC00661NB,2300661,          ,23-647 Algonquin Trail,23-658 Mt Pony Rd,170,R,,,,,,,X,,X,,,X,Bidirectional,0,Culpeper County,1.4,Culpeper County,,,1,1,24000,SC-661N (Culpeper County) - ADT 170,Culpeper,Culpeper,SC,1965896,2872.568423
153,718955,2021/05/04 00:00:00+00,SC-4801E (Chesterfield County),R-VA020SC04801EB,2004801,          ,20-4800 Arbor Green Dr,Cul-de-Sac,48,T,,,,,,,X,,X,,,X,Bidirectional,0,Chesterfield County,0.03,Chesterfield County,,,1,1,24000,SC-4801E (Chesterfield County) - ADT 48,Richmond,Richmond,SC,2172515,52.94294876
154,302480,2024/01/01 00:00:00+00,SC-607E (Greene County),R-VA039SC00607EB,3900607,          ,39-661 Mohican Trail,39-616 Carpenter Mill Rd,5300,G,97.40964,0.64544,0.94664,0.64544,0.35284,0,F,0.0978,F,0.6436,4800,G,Bidirectional,2.65,Greene County,2.9,Greene County,0.06846,0.0176,1,1,200000,SC-607E (Greene County) - ADT 5300,Culpeper,Culpeper,SC,1639312,492.6111663
155,718636,2018/08/14 00:00:00+00,SC-4420E (Chesterfield County),R-VA020SC04420EB,2004420,          ,20-4427 Jacobs Glenn Dr,Dead End,380,T,,,,,,,X,,X,,,X,Bidirectional,0.42,Chesterfield County,0.62,Chesterfield County,,,1,1,24000,SC-4420E (Chesterfield County) - ADT 380,Richmond,Richmond,SC,1392206,308.91758
156,748295,2015/05/04 00:00:00+00,SC-626N (King and Queen County),R-VA049SC00626NB,4900626,          ,49-623 Indians Neck Rd,0.46 MN 49-623,4,R,,,,,,,X,,X,,,X,Bidirectional,0,King and Queen County,0.46,King and Queen County,,,1,1,24000,SC-626N (King and Queen County) - ADT 4,Fredericksburg,Fredericksburg,SC,1402367,958.9524656
158,712957,2021/04/06 00:00:00+00,SC-1538E (Chesterfield County),R-VA020SC01538EB,2001538,          ,US 1 Jefferson Davis Hwy,20-705 Elokomin Ave,1400,R,,,,,,,X,,X,,,X,Bidirectional,0,Chesterfield County,0.08,Chesterfield County,,,1,1,24000,SC-1538E (Chesterfield County) - ADT 1400,Richmond,Richmond,SC,1386271,133.5298349
160,778963,2022/06/28 00:00:00+00,SC-643E (York County),R-VA099SC00643EB,9900643,          ,99-662 Arden Dr,99-690 Palace Lane,620,R,,,,,,,X,,X,,,X,Bidirectional,0.08,York County,0.14,York County,,,1,1,24000,SC-643E (York County) - ADT 620,Hampton Roads,Hampton Roads,SC,2144210,115.4863032
161,750729,2010/07/13 00:00:00+00,SC-1479N (Loudoun County),R-VA053SC01479NB,5301479,          ,53-1447 Laurel Ave,53-1451 Juniper Ave,100,R,,,,,,,X,,X,,,X,Bidirectional,0.1,Loudoun County,0.25,Loudoun County,,,1,1,24000,SC-1479N (Loudoun County) - ADT 100,Northern Virginia,Northern Virginia,SC,2014401,334.5786321
